{'x': 6.607837029846167, 'y': -6.375306336364151, 'theta': 101.0711845496794}
{'x': 6.607837029846167, 'y': -6.375306336364151, 'theta': 101.0711845496794}
{'x': 6.598769228922628, 'y': -6.328092775356288, 'theta': 101.15830374507647}
{'x': 6.580250955051712, 'y': -6.231549968384097, 'theta': 101.55474258899682}
{'x': 6.580250955051712, 'y': -6.231549968384097, 'theta': 101.55474258899682}
{'x': 6.561071866895842, 'y': -6.1365067945656415, 'theta': 101.71138108668667}
{'x': 6.552555185624387, 'y': -6.093695332081505, 'theta': 101.79486127033195}
{'x': 6.542732198355764, 'y': -6.045961405573975, 'theta': 101.86163594743672}
{'x': 6.542732198355764, 'y': -6.045961405573975, 'theta': 101.86163594743672}
{'x': 6.53282267518072, 'y': -5.9981563834777205, 'theta': 101.92291605033478}
{'x': 6.512511317426477, 'y': -5.899847551781012, 'theta': 101.96671289458371}
{'x': 6.512511317426477, 'y': -5.899847551781012, 'theta': 101.96671289458371}
{'x': 6.494569879209083, 'y': -5.81172005316306, 'theta': 102.07380669318329}
{'x': 6.4871416715108925, 'y': -5.773489652843592, 'theta': 102.1315946433258}
{'x': 6.477420546893285, 'y': -5.727321563103659, 'theta': 102.17007573108042}
{'x': 6.467091449515257, 'y': -5.679130463637873, 'theta': 102.20052446998733}
{'x': 6.459438519370641, 'y': -5.639220475012663, 'theta': 102.20241021154845}
{'x': 6.459438519370641, 'y': -5.639220475012663, 'theta': 102.20241021154845}
{'x': 6.44974556508452, 'y': -5.593040542362481, 'theta': 102.22126535197947}
{'x': 6.432954245641996, 'y': -5.4934947594002255, 'theta': 102.04722757228522}
{'x': 6.423737356993889, 'y': -5.444357738783482, 'theta': 102.01044618578464}
{'x': 6.341835802688661, 'y': -5.095046399455448, 'theta': 102.59919030493998}
{'x': 6.341835802688661, 'y': -5.095046399455448, 'theta': 102.59919030493998}
{'x': 6.334360078059282, 'y': -5.028762253112619, 'theta': 102.39985196136213}
{'x': 6.31472395668519, 'y': -4.930452943925158, 'theta': 102.31173644803421}
{'x': 6.31472395668519, 'y': -4.930452943925158, 'theta': 102.31173644803421}
{'x': 6.293837428396161, 'y': -4.833216778596043, 'theta': 102.30398126982114}
{'x': 6.280431176163788, 'y': -4.781057953685335, 'theta': 102.60975530280034}
{'x': 6.280431176163788, 'y': -4.781057953685335, 'theta': 102.60975530280034}
{'x': 6.269592616694501, 'y': -4.73256109611154, 'theta': 102.60981605190804}
{'x': 6.258745696098556, 'y': -4.6840443273336545, 'theta': 102.60811498993358}
{'x': 6.244120725992088, 'y': -4.630930345533249, 'theta': 102.71677809982508}
{'x': 6.23220910508839, 'y': -4.5812747353693455, 'theta': 102.73925358328636}
{'x': 6.221248977903913, 'y': -4.5327772890591636, 'theta': 102.7318507381264}
{'x': 6.204344192832364, 'y': -4.424338380026299, 'theta': 102.4208752569713}
{'x': 6.204344192832364, 'y': -4.424338380026299, 'theta': 102.4208752569713}
{'x': 6.193632708685365, 'y': -4.375762689616311, 'theta': 102.40362097447833}
{'x': 6.17224159394257, 'y': -4.2790890479926365, 'theta': 102.44236951720774}
{'x': 6.161492691766466, 'y': -4.230518891058864, 'theta': 102.42271512134546}
{'x': 6.161492691766466, 'y': -4.230518891058864, 'theta': 102.42271512134546}
{'x': 6.134833465205254, 'y': -4.146973699422709, 'theta': 102.63182121426541}
{'x': 6.123908696013398, 'y': -4.098408038270966, 'theta': 102.6092750810947}
{'x': 6.1063617904712455, 'y': -4.056613242917248, 'theta': 102.95919134912339}
{'x': 6.09342730077672, 'y': -4.009785758796292, 'theta': 103.02531332081358}
{'x': 6.078880026121987, 'y': -3.9585056412008703, 'theta': 103.01062659553587}
{'x': 6.067613037307987, 'y': -3.9099774675084737, 'theta': 102.97599187349306}
{'x': 6.05636804065155, 'y': -3.861438717096307, 'theta': 102.93622741376184}
{'x': 6.056801041020616, 'y': -3.8212721168633506, 'theta': 102.4343822308689}
{'x': 6.049021691015254, 'y': -3.774669723034278, 'theta': 102.27088477731549}
{'x': 6.049021691015254, 'y': -3.774669723034278, 'theta': 102.27088477731549}
{'x': 6.038022924795958, 'y': -3.6743527984465447, 'theta': 101.86084639970923}
{'x': 5.55924278290345, 'y': -1.3138482086314793, 'theta': 101.55010644892225}
{'x': 5.55924278290345, 'y': -1.3138482086314793, 'theta': 101.55010644892225}
{'x': 5.549344962043367, 'y': -1.2649619116594195, 'theta': 101.59197320423925}
{'x': 5.53502547189456, 'y': -1.2137964686809908, 'theta': 101.63494040193494}
{'x': 5.515048464932358, 'y': -1.116046435737536, 'theta': 101.71946611810004}
{'x': 5.515048464932358, 'y': -1.116046435737536, 'theta': 101.71946611810004}
{'x': 5.501740081705899, 'y': -1.0645748958972272, 'theta': 101.75902682348729}
{'x': 5.480768221441436, 'y': -0.9662602311260118, 'theta': 101.84199643370785}
{'x': 5.480768221441436, 'y': -0.9662602311260118, 'theta': 101.84199643370785}
{'x': 5.4755342834787974, 'y': -0.9148143369295461, 'theta': 101.67902143232742}
{'x': 5.466806723589043, 'y': -0.8652988291158761, 'theta': 101.66757015935491}
{'x': 5.456815871375225, 'y': -0.8164402490056991, 'theta': 101.7059368652572}
{'x': 5.449020921278396, 'y': -0.7656619551770236, 'theta': 101.60400241935413}
{'x': 5.439657182746624, 'y': -0.7163076131936488, 'theta': 101.60740306848193}
{'x': 5.429701468242559, 'y': -0.6674394909364875, 'theta': 101.64647310148273}
