{'x': 4.684845322805121, 'y': 2.3088064414659346, 'theta': -71.91173450232125}
{'x': 4.6908253586782624, 'y': 2.2901138293804495, 'theta': -71.88320073016295}
{'x': 4.701534507720728, 'y': 2.2558919712928627, 'theta': -71.91099075179874}
{'x': 4.714933296096146, 'y': 2.2143043857020306, 'theta': -72.07144445896203}
{'x': 4.714933296096146, 'y': 2.2143043857020306, 'theta': -72.07144445896203}
{'x': 4.727293805918563, 'y': 2.176172250028067, 'theta': -72.39373319397265}
{'x': 4.736858018347519, 'y': 2.1544813999867607, 'theta': -72.42311983509481}
{'x': 4.748317695360939, 'y': 2.1314150839939483, 'theta': -72.39508458202684}
{'x': 4.7545131486289645, 'y': 2.112315559453223, 'theta': -72.69420534492897}
{'x': 4.7606097089080714, 'y': 2.0932530184733897, 'theta': -73.03545497266164}
{'x': 4.766605092743771, 'y': 2.074172032375876, 'theta': -73.42132615737603}
{'x': 4.772516625599684, 'y': 2.055024758087182, 'theta': -73.84218361307926}
{'x': 4.778704447591037, 'y': 2.0366675870703697, 'theta': -74.32899403345836}
{'x': 4.784959780562316, 'y': 2.0186542231231126, 'theta': -74.85664328363285}
{'x': 4.790423139775003, 'y': 1.9994513290669111, 'theta': -75.36904455130963}
{'x': 4.795695740693255, 'y': 1.9802520292991483, 'theta': -75.90639154392451}
{'x': 4.795695740693255, 'y': 1.9802520292991483, 'theta': -75.90639154392451}
{'x': 4.807418144091518, 'y': 1.9373375984051773, 'theta': -76.98845743707996}
{'x': 4.814793492806803, 'y': 1.9113311119697085, 'theta': -77.49581942657727}
{'x': 4.819367542117294, 'y': 1.8919955364070973, 'theta': -78.07602604841571}
{'x': 4.8237360168018775, 'y': 1.8726427732569462, 'theta': -78.65644592134318}
{'x': 4.827928722866755, 'y': 1.8532612482611583, 'theta': -79.23486236724318}
{'x': 4.827928722866755, 'y': 1.8532612482611583, 'theta': -79.23486236724318}
{'x': 4.831916988386045, 'y': 1.8338368892047854, 'theta': -79.80628838439333}
{'x': 4.841607516359069, 'y': 1.8020194612438092, 'theta': -80.64799976477988}
{'x': 4.845496862618795, 'y': 1.7835488341203432, 'theta': -81.13782548491504}
{'x': 4.848894613678624, 'y': 1.764015457819902, 'theta': -81.64877227483058}
{'x': 5.027931092213802, 'y': 0.41272382470489766, 'theta': -76.27863206521654}
{'x': 5.027931092213802, 'y': 0.41272382470489766, 'theta': -76.27863206521654}
{'x': 5.04921872553272, 'y': 0.3274198999482596, 'theta': -75.80594651509053}
{'x': 5.04921872553272, 'y': 0.3274198999482596, 'theta': -75.80594651509053}
{'x': 5.059869151909969, 'y': 0.2841488470375044, 'theta': -75.62316539172396}
{'x': 5.071493872321999, 'y': 0.19995355810769078, 'theta': -75.80092175016271}
{'x': 5.071493872321999, 'y': 0.19995355810769078, 'theta': -75.80092175016271}
{'x': 5.093353304294526, 'y': 0.11349104778802321, 'theta': -75.63109032968686}
{'x': 5.093353304294526, 'y': 0.11349104778802321, 'theta': -75.63109032968686}
{'x': 5.115061801289285, 'y': 0.030047450218374405, 'theta': -75.67233443537481}
{'x': 5.125021110253236, 'y': -0.01434865320892198, 'theta': -75.73160111842262}
{'x': 5.132554222747561, 'y': -0.05780924861246506, 'theta': -75.9777482972533}
{'x': 5.143058943356289, 'y': -0.1030495636044505, 'theta': -76.00538801382912}
{'x': 5.154425748196847, 'y': -0.14886692679981128, 'theta': -75.98789663191637}
{'x': 5.167722563117494, 'y': -0.19588266330058934, 'theta': -75.94448831420154}
{'x': 5.167722563117494, 'y': -0.19588266330058934, 'theta': -75.94448831420154}
{'x': 5.193412807996844, 'y': -0.2897164962643056, 'theta': -75.92492403351976}
{'x': 5.193412807996844, 'y': -0.2897164962643056, 'theta': -75.92492403351976}
{'x': 5.215686985468004, 'y': -0.38200369696562064, 'theta': -76.01965447956321}
{'x': 5.227345424721152, 'y': -0.42871385144687757, 'theta': -76.04824367294027}
{'x': 5.227345424721152, 'y': -0.42871385144687757, 'theta': -76.04824367294027}
{'x': 5.255491695154468, 'y': -0.5160842732025003, 'theta': -75.8436304971093}
{'x': 5.2674179490485, 'y': -0.5631502513755205, 'theta': -75.89293425066137}
{'x': 5.279981571941556, 'y': -0.6092990667775755, 'theta': -75.85463258595254}
{'x': 5.292147336454724, 'y': -0.6562619725634691, 'theta': -75.8902367114407}
{'x': 5.292147336454724, 'y': -0.6562619725634691, 'theta': -75.8902367114407}
{'x': 5.303484614856945, 'y': -0.7040657382025378, 'theta': -75.99403253630257}
{'x': 5.325171105165353, 'y': -0.8005306151571596, 'theta': -76.2605951703762}
{'x': 5.33086691664351, 'y': -0.8488242779791283, 'theta': -76.50770888633753}
{'x': 5.340908046467538, 'y': -0.8967046355005135, 'theta': -76.6318528720727}
{'x': 5.417907384580698, 'y': -1.2260746254565378, 'theta': -77.21602617250967}
{'x': 5.417907384580698, 'y': -1.2260746254565378, 'theta': -77.21602617250967}
{'x': 5.4335935087320575, 'y': -1.2804360910125188, 'theta': -77.03616235664079}
{'x': 5.454455493643216, 'y': -1.3711184731500308, 'theta': -77.15261541033571}
{'x': 5.454455493643216, 'y': -1.3711184731500308, 'theta': -77.15261541033571}
{'x': 5.474172805419698, 'y': -1.4580419018770447, 'theta': -77.2576636361795}
{'x': 5.485999217765388, 'y': -1.5096633907701824, 'theta': -77.35508724945153}
{'x': 5.498087816683206, 'y': -1.5629658250286866, 'theta': -77.4661092722599}
{'x': 5.498087816683206, 'y': -1.5629658250286866, 'theta': -77.4661092722599}
{'x': 5.515973791887324, 'y': -1.6611505515030554, 'theta': -77.65369024820768}
{'x': 5.526162454334443, 'y': -1.7098387231938954, 'theta': -77.72606970761058}
{'x': 5.526162454334443, 'y': -1.7098387231938954, 'theta': -77.72606970761058}
{'x': 5.538105303823729, 'y': -1.758666441428617, 'theta': -77.6780154308085}
{'x': 5.550871566190476, 'y': -1.8076132273763426, 'theta': -77.57279884032936}
{'x': 5.560575391114919, 'y': -1.9051885812176987, 'theta': -78.18898541592785}
{'x': 5.567816111857215, 'y': -1.954005114335715, 'theta': -78.36971376336425}
{'x': 5.577954739285905, 'y': -2.0027347443561188, 'theta': -78.42433758862909}
{'x': 5.589724440743863, 'y': -2.0498792152074414, 'theta': -78.32912971310144}
{'x': 5.600359238490655, 'y': -2.0982292686987836, 'theta': -78.33947763113561}
{'x': 5.606410312830148, 'y': -2.1457081337797135, 'theta': -78.50961307767562}
{'x': 5.614321989523507, 'y': -2.193865939204402, 'theta': -78.61181554408253}
{'x': 5.624243069691583, 'y': -2.242684631334102, 'theta': -78.64480797676542}
{'x': 5.624243069691583, 'y': -2.242684631334102, 'theta': -78.64480797676542}
{'x': 5.634762347233346, 'y': -2.2886209092031926, 'theta': -78.60593796930458}
{'x': 5.65476129654464, 'y': -2.3855443587646454, 'theta': -78.6329057243843}
{'x': 5.672252671517896, 'y': -2.4372880258246887, 'theta': -78.34612757401229}
{'x': 5.672252671517896, 'y': -2.4372880258246887, 'theta': -78.34612757401229}
{'x': 5.692071925520129, 'y': -2.535447164605066, 'theta': -78.38796964423098}
{'x': 5.7010872588802615, 'y': -2.5857239335771505, 'theta': -78.44777657512887}
{'x': 5.710880106480655, 'y': -2.634834659354603, 'theta': -78.46355276288546}
{'x': 5.788620495397478, 'y': -2.973893922992511, 'theta': -78.07436960430438}
{'x': 5.801305321517913, 'y': -3.025835105794893, 'theta': -78.05882362055215}
{'x': 5.811610815573028, 'y': -3.0746077906704437, 'theta': -78.05184933118774}
{'x': 5.821787322761166, 'y': -3.121814838976463, 'theta': -78.04571387922812}
{'x': 5.8317658747885694, 'y': -3.1666704550823503, 'theta': -78.04136705889896}
{'x': 5.83954223917813, 'y': -3.214043181804036, 'theta': -78.10071053771695}
{'x': 5.84560213445558, 'y': -3.2618173916550557, 'theta': -78.20377155448935}
{'x': 5.855784474267763, 'y': -3.3106402873898624, 'theta': -78.1961234654427}
{'x': 5.86678867381943, 'y': -3.356712094626568, 'theta': -78.12510478864812}
{'x': 5.86678867381943, 'y': -3.356712094626568, 'theta': -78.12510478864812}
{'x': 5.888680242146129, 'y': -3.4501546897873663, 'theta': -78.01124738835219}
{'x': 5.899633172658591, 'y': -3.5014723628393227, 'theta': -77.9290069105831}
{'x': 5.910210192426442, 'y': -3.5508649332247897, 'theta': -77.90066552531815}
{'x': 5.910210192426442, 'y': -3.5508649332247897, 'theta': -77.90066552531815}
{'x': 5.935436679125764, 'y': -3.6601835666795033, 'theta': -77.82423463143219}
{'x': 5.943569151338032, 'y': -3.7094967949656805, 'theta': -77.91859016014915}
{'x': 5.943569151338032, 'y': -3.7094967949656805, 'theta': -77.91859016014915}
{'x': 5.947877897275724, 'y': -3.7596743672860993, 'theta': -78.1703967993151}
{'x': 5.966987540051479, 'y': -3.857615995845314, 'theta': -78.20147113314093}
